playlist_genre,dimension_1,dimension_2
pop,-97.14641,-25.548405
pop,74.493126,89.24534
pop,20.084076,-110.16838
pop,11.730596,-81.891716
pop,-96.99747,35.251144
pop,39.66046,-4.0585966
pop,18.975538,-59.2858
pop,17.50368,111.23005
pop,47.238647,-114.10774
pop,-7.4869,11.79977
pop,-12.84265,66.32155
pop,-29.306755,31.082169
pop,-114.344574,33.974426
pop,31.794891,13.782299
pop,18.445234,-96.86223
pop,43.10798,46.141193
pop,-24.218973,10.491739
pop,-29.142445,4.949128
pop,-38.952965,-70.29486
pop,-18.661028,0.7271734
pop,-23.180218,11.084139
pop,-44.49825,50.53201
pop,-11.9879465,44.019638
pop,-12.603491,-130.6606
pop,-4.688122,-95.1872
pop,-38.01997,41.43088
pop,-27.127056,93.28863
pop,48.837963,-64.18979
pop,-23.146626,-22.423958
pop,-19.37235,30.91232
pop,-29.309547,-34.68985
pop,-44.061825,-66.14818
pop,-101.7583,79.927414
pop,19.433134,19.236912
pop,17.081015,-32.316574
pop,-38.135708,122.72802
pop,23.724558,-76.06161
pop,33.442474,-27.362703
pop,-34.232315,-54.981014
pop,-20.078444,11.315519
pop,-22.727995,61.620625
pop,-7.3290076,34.415184
pop,-5.563317,91.708984
pop,19.114662,-59.469364
pop,-33.520363,126.25717
pop,-82.01588,37.175373
pop,12.727833,-69.775635
pop,6.659888,85.92684
pop,31.603743,-57.683952
pop,-0.9496572,117.065865
pop,-14.85983,-108.69179
pop,-34.57209,-49.747772
pop,-30.241482,-38.168804
pop,-30.216984,32.522057
pop,-14.8997345,-108.69296
pop,-3.4913614,114.97454
pop,-28.49897,107.99086
pop,-24.55391,-98.88371
pop,-18.020563,-32.541058
pop,-7.6733217,12.1882515
pop,-31.004864,86.0126
pop,-24.738007,-99.210594
pop,-55.8928,99.01599
pop,69.37877,9.594503
pop,-17.84108,33.800877
pop,-8.91891,6.942679
pop,-18.621273,-31.405922
pop,-12.629334,-63.580864
pop,-73.91538,-8.871723
pop,-41.651207,38.788277
pop,7.4651737,79.140526
pop,-48.334877,-44.88281
pop,-36.68862,-25.988897
pop,-47.761723,-25.723616
pop,-77.80623,-93.77077
pop,-18.915035,-36.46642
pop,-2.3769333,68.176506
pop,-6.1242785,98.01411
pop,-45.863243,-22.20076
pop,12.924572,19.438553
pop,-32.906166,-59.28684
pop,-59.559242,-34.46934
pop,126.59674,-50.49515
pop,-31.53522,-40.025402
pop,12.426063,-69.34555
pop,-47.247562,-82.32933
pop,-16.72505,121.391235
pop,-20.013386,5.0319343
pop,-63.346275,107.12441
pop,45.975407,-29.183449
pop,-28.540743,18.182894
pop,-18.278988,-33.80408
pop,-69.24421,47.534798
pop,-70.36336,10.914206
pop,0.80065155,39.13207
pop,7.6948514,-56.05442
pop,-48.288452,-64.30082
pop,55.806664,-33.44274
pop,8.768973,-99.455635
pop,-78.83576,8.867323
pop,68.71456,-1.6262736
pop,8.267171,-106.82741
pop,-41.508026,-68.0085
pop,-12.148197,58.781433
pop,-31.926394,-40.61003
pop,59.21153,31.639017
pop,-61.045208,-31.407576
pop,-35.899704,-76.87001
pop,-51.99685,-5.7153296
pop,-115.59579,-49.318382
pop,-35.60362,-116.09212
pop,-6.813723,14.704098
pop,6.413921,97.15414
pop,-28.268803,15.149241
pop,-25.389236,-98.91447
pop,25.574015,56.196766
pop,52.685402,70.41118
pop,-36.43054,-25.832775
pop,-29.455446,38.164894
pop,49.859467,110.52139
pop,-61.044693,-72.34313
pop,-19.936684,-38.93328
pop,-114.18309,20.798416
pop,-58.288963,105.238594
pop,-46.440342,-23.195616
pop,-115.18443,-42.84254
pop,-78.18788,-92.413
pop,-63.93706,-49.878056
pop,-56.778656,-102.855316
pop,-22.346992,-50.396156
pop,-26.766699,12.998718
pop,-85.21014,75.764984
pop,-5.9514475,97.98824
pop,-21.564007,-126.667465
pop,-70.17564,8.44146
pop,-62.586037,-6.7438626
pop,-48.534977,-79.93218
pop,-39.99674,-31.977743
pop,-29.953506,-35.330704
pop,-48.79291,-63.900517
pop,-26.721909,-122.528694
pop,52.78155,76.47454
pop,-59.374363,-105.96323
pop,-29.06561,0.83698404
pop,-53.010063,35.27274
pop,-18.013805,12.517952
pop,-60.34417,4.695451
pop,-46.728996,-65.06188
pop,-94.89909,-11.830118
pop,-43.811848,-56.453976
pop,71.71688,47.71888
pop,-99.6089,49.167793
pop,-76.51266,-72.21218
pop,3.6908808,16.379778
pop,-33.729103,-57.355633
pop,-96.40379,43.286255
